Rk,Player,Season,Age,Tm,Lg,3P%,3PA,TS%,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,eFG%,FT%
84,Reggie Miller,1997-98,32,IND,NBA,0.429,382,0.619,81,81,2795,10.1,21.1,6.9,13.7,3.2,7.5,7.5,8.6,0.9,3.6,4.5,3.3,1.5,0.2,2.5,2.9,30.8,0.477,0.504,0.553,0.868
85,Jeff Hornacek,1995-96,32,UTA,NBA,0.466,223,0.619,82,59,2588,9.1,18.1,7,13.5,2.1,4.6,5.3,6,1.3,3,4.3,7,2.2,0.4,2.6,3.5,25.7,0.502,0.514,0.561,0.893
86,Kevin Martin,2007-08,24,SAC,NBA,0.402,266,0.618,61,57,2216,9.5,20.9,7.1,14.8,2.4,6.1,11.5,13.2,1.1,5.1,6.2,3,1.4,0.1,3,3.4,33,0.456,0.478,0.515,0.869
87,Thabo Sefolosha,2012-13,28,OKC,NBA,0.419,258,0.617,81,81,2229,5.2,10.8,2.7,4.8,2.5,6,1.3,1.6,1.3,6,7.3,2.9,2.4,1,1.5,4.1,14.1,0.481,0.558,0.597,0.826
88,Chauncey Billups,2010-11,34,TOT,NBA,0.402,363,0.617,72,72,2310,7.4,17.3,4.2,9.4,3.2,7.9,8.3,9.1,0.5,3.6,4.1,8.4,1.5,0.3,3.8,3.2,26.3,0.427,0.448,0.519,0.916
89,Reggie Miller,2001-02,36,IND,NBA,0.406,443,0.617,79,79,2889,7.5,16.5,4.2,8.5,3.3,8,5.3,5.9,0.4,3.5,4,4.6,1.6,0.2,2.2,2.6,23.6,0.453,0.498,0.552,0.911
90,Matt Bonner,2010-11,30,SAS,NBA,0.457,230,0.617,66,1,1432,6.2,13.5,2.4,5.1,3.8,8.4,1.2,1.6,2.2,6.5,8.7,2.2,0.9,0.8,1,4,17.5,0.464,0.475,0.605,0.744
91,Rodrigue Beaubois,2009-10,21,DAL,NBA,0.409,110,0.617,56,16,700,11.5,22.2,8.2,14,3.3,8.2,3.1,3.9,0.9,4.9,5.8,5.5,2.1,0.9,4,6.2,29.4,0.518,0.582,0.594,0.808
92,Darius Miller,2017-18,27,NOP,NBA,0.411,358,0.617,82,3,1944,5.3,12,1.7,3.2,3.6,8.8,1.4,1.6,0.4,3.6,4,2.7,0.7,0.4,1.4,3.9,15.6,0.444,0.535,0.594,0.866
93,Jose Calderon,2012-13,31,TOT,NBA,0.461,282,0.616,73,58,2160,7.7,15.6,4.5,8.7,3.2,6.9,1.8,2,0.5,3.8,4.3,12.7,1.4,0.2,3.1,2.4,20.3,0.491,0.516,0.594,0.9
94,Chris Mullin,1998-99,35,IND,NBA,0.465,157,0.616,50,50,1179,8.3,17.5,4.9,10.1,3.4,7.4,3.8,4.3,1.2,6.4,7.5,3.8,2.2,0.6,2.8,4.8,23.9,0.477,0.486,0.575,0.87
95,Hersey Hawkins,1996-97,30,SEA,NBA,0.403,355,0.616,82,82,2755,7.1,15.3,4.4,8.5,2.8,6.8,5,5.7,1.8,4.4,6.2,4.8,3.1,0.2,2.5,2.8,22,0.464,0.514,0.554,0.875
96,Kawhi Leonard,2015-16,24,SAS,NBA,0.443,291,0.616,72,72,2380,11.9,23.4,9.1,17.2,2.8,6.3,6.3,7.2,2,8.6,10.6,4,2.8,1.5,2.3,2.9,32.8,0.506,0.528,0.565,0.874
97,Reggie Bullock,2017-18,26,DET,NBA,0.445,281,0.615,62,52,1732,7.7,15.7,4.1,7.6,3.6,8.1,1.1,1.4,0.8,3.7,4.4,2.7,1.4,0.4,1.4,2,20.1,0.489,0.536,0.603,0.796
98,Steve Nash,2009-10,35,PHO,NBA,0.426,291,0.615,81,81,2660,9.4,18.6,7.1,13.1,2.3,5.5,4,4.3,0.6,4.4,5.1,16.9,0.8,0.2,5.6,2,25.2,0.507,0.54,0.57,0.938
99,Ray Allen,2010-11,35,BOS,NBA,0.444,378,0.615,80,80,2890,8.8,18,5.7,11,3.1,6.9,3.5,4,0.9,4.1,5,4,1.4,0.3,2.2,2.7,24.3,0.491,0.52,0.577,0.881
100,Steve Nash,2008-09,34,PHO,NBA,0.439,246,0.615,74,74,2484,8.6,17.1,6.4,12.2,2.2,5,3.9,4.2,0.4,4.1,4.5,14.4,1.1,0.2,5,2.2,23.4,0.503,0.529,0.566,0.933
